Title,Category,Skills
Machine Learning Specialization,Data Science | Machine Learning,"Decision Trees, Artificial Neural Network, Logistic Regression, Recommender Systems, Linear Regression, Regularization to Avoid Overfitting, Gradient Descent, Supervised Learning, Logistic Regression for Classification, Xgboost, Tensorflow, Tree Ensembles, "
Introduction to Data Science Specialization,Data Science | Data Analysis,"Data Science, Relational Database Management System (RDBMS), Cloud Databases, Python Programming, SQL, Deep Learning, Machine Learning, Big Data, Data Mining, Github, Jupyter notebooks, Rstudio, "
Data Science Fundamentals with Python and SQL Specialization,Data Science | Data Analysis,"Data Science, Github, Python Programming, Jupyter notebooks, Rstudio, Data Analysis, Pandas, Numpy, Probability And Statistics, Regression Analysis, Data Visualization (DataViz), Statistical Hypothesis Testing, "
Key Technologies for Business Specialization,Business | Business Essentials,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Cloud Native, Devops, Iaas PaaS Saas, Hybrid Multicloud, Deep Learning, Jobs, Machine Learning, "
Deep Learning Specialization,Data Science | Machine Learning,"Artificial Neural Network, Convolutional Neural Network, Tensorflow, Recurrent Neural Network, Transformers, Deep Learning, Backpropagation, Python Programming, Neural Network Architecture, Mathematical Optimization, hyperparameter tuning, Inductive Transfer, "
IBM & Darden Digital Strategy Specialization,Data Science | Machine Learning,"Data Science, Digital transformation, Artificial Intelligence (AI), Business Strategy, Cloud Computing, Deep Learning, Jobs, Machine Learning, strategy, Swot Analysis, Value Proposition, Competitiveness, "
IBM AI Foundations for Business Specialization,Data Science | Machine Learning,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Big Data, Data Mining, Management, Analytics, "
Data Analysis and Visualization Foundations Specialization,Data Science | Data Analysis,"Data Science, Spreadsheet, Microsoft Excel, Data Analysis, Data Visualization (DataViz), Pivot Table, IBM Cognos Analytics, Dashboard, "
Applied Data Science Specialization,Data Science | Machine Learning,"Data Science, Python Programming, Data Analysis, Pandas, Numpy, Jupyter notebooks, Predictive Modelling, Data Visualization (DataViz), Model Selection, Dashboards and Charts, dash, Matplotlib, "
Data Engineering Foundations Specialization,Information Technology | Data Management,"Information Engineering, Python Programming, Extraction, Transformation And Loading (ETL), Relational Database Management System (RDBMS), SQL, Data Science, Database (DBMS), NoSQL, Data Analysis, Pandas, Numpy, Jupyter notebooks, "
IT Fundamentals for Cybersecurity Specialization,Information Technology | Security,"Operating System Security, database vulnerabilities, Cybersecurity, networking basics, Cyber Attacks, Information Security (INFOSEC), IBM New Collar, Malware, Network Security, Sql Injection, "
Applied Software Engineering Fundamentals Specialization,Computer Science | Software Development,"Linux, Software Design and Architecture, Python Programming, Git and GitHub, Software Development Lifecycle (SDLC), Basic programming concepts, Careers in software engineering, Programming languages and frameworks, The Software Development Lifecycle (SDLC), Software Architecture, Shell Script, Bash (Unix Shell), "
"DevOps, Cloud, and Agile Foundations Specialization",Computer Science | Design and Product,"Cloud Native, Devops, Scrum, Cloud Computing, agile, Test-Driven Development, CI/CD, Behavior-Driven Development, Iaas PaaS Saas, Hybrid Multicloud, Agile Software Development, Scrum Methodology, "
Cloud Application Development Foundations Specialization,Information Technology | Cloud Computing,"Devops, Python Programming, Node.Js, HTML and CSS, Cloud Applications, Cloud Native, Iaas PaaS Saas, Hybrid Multicloud, Cloud Computing, Cascading Style Sheets (CSS), HTML, Git (Software), "
Python for Everybody Specialization,Computer Science | Software Development,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL, "
Information Technology (IT) and Cloud Fundamentals Specialization,Information Technology | Cloud Computing,"IT Fundamentals, Cybersecurity, Cloud, Networking, hardware, Technical Support, IT Service Management (ITSM), Troubleshooting, IT Career, Software Development Process, database management, Software Application Development, "
"BI Foundations with SQL, ETL and Data Warehousing Specialization",Information Technology | Data Management,"Shell Script, Bash (Unix Shell), Linux, Cloud Databases, Python Programming, Jupyter notebooks, Relational Database Management System (RDBMS), SQL, Extraction, Transformation And Loading (ETL), Apache Kafka, Apache Airflow, Data Pipelines, "
