StudentID,Major,Skills,Languages,Location,ExtracurricularActivities,GPA
1,Psychology,Problem Solving,"Chinese, Japanese, Spanish, German, French",New York,Debate Club,3.27
2,Physics,"Leadership, Problem Solving, Public Speaking, Data Analysis, Programming","French, English, Chinese, Spanish, Japanese",Boston,Debate Club,3.17
3,Biology,"Data Analysis, Leadership, Public Speaking, Artistic, Problem Solving","Spanish, Japanese, German, French",Chicago,Volunteer Group,2.09
4,Biology,"Public Speaking, Data Analysis, Problem Solving","Japanese, Chinese, Spanish, French",Chicago,Volunteer Group,2.56
5,Computer Science,Data Analysis,English,Chicago,Sports Team,2.01
6,History,"Public Speaking, Artistic",Japanese,Chicago,Debate Club,2.99
7,Psychology,"Public Speaking, Problem Solving, Data Analysis, Artistic","Chinese, English, Spanish, German",New York,Art Club,3.35
8,Psychology,"Programming, Public Speaking, Artistic, Leadership","Chinese, Japanese, Spanish",Houston,Volunteer Group,3.64
9,Mathematics,"Leadership, Artistic, Problem Solving, Public Speaking, Programming, Data Analysis","German, English, Japanese, Chinese",New York,Sports Team,2.97
10,History,"Programming, Data Analysis, Problem Solving, Leadership","Chinese, German, Spanish",Los Angeles,Sports Team,3.03
11,Psychology,"Programming, Leadership, Artistic, Data Analysis","German, English, Spanish, French",New York,Sports Team,3.02
12,Biology,"Public Speaking, Programming, Problem Solving, Leadership",German,San Francisco,Coding Club,3.96
13,Mathematics,"Programming, Artistic, Problem Solving","English, Japanese, Chinese, Spanish, German, French",New York,Music Club,2.98
14,Biology,"Artistic, Problem Solving, Programming",Japanese,Boston,Sports Team,2.48
15,Computer Science,"Artistic, Problem Solving, Public Speaking, Data Analysis",German,Chicago,Music Club,2.54
16,Computer Science,"Artistic, Programming, Leadership",English,Chicago,Debate Club,2.5
17,Physics,"Data Analysis, Programming, Problem Solving, Public Speaking, Leadership, Artistic","Chinese, Japanese, English",New York,Music Club,3.0
18,Computer Science,"Data Analysis, Problem Solving, Public Speaking",Japanese,Los Angeles,Volunteer Group,3.91
19,Biology,"Programming, Artistic, Public Speaking, Data Analysis, Leadership, Problem Solving","English, German",New York,Coding Club,2.44
20,History,"Public Speaking, Leadership, Artistic, Data Analysis, Problem Solving, Programming","Chinese, German, Spanish, English, French, Japanese",Chicago,Debate Club,3.64
21,Mathematics,"Programming, Public Speaking, Data Analysis, Leadership, Problem Solving","German, Chinese, French",Chicago,Coding Club,2.36
22,Psychology,"Problem Solving, Data Analysis, Leadership, Artistic","Spanish, English",San Francisco,Sports Team,3.8
23,Mathematics,"Artistic, Leadership, Data Analysis, Problem Solving, Public Speaking","Chinese, English, German, French, Japanese, Spanish",Los Angeles,Volunteer Group,3.81
24,Physics,"Public Speaking, Data Analysis, Artistic","Chinese, English, Japanese, French, Spanish",Houston,Music Club,3.12
25,Physics,"Data Analysis, Problem Solving, Artistic, Public Speaking, Leadership, Programming","English, Spanish, Japanese, French, Chinese, German",Boston,Coding Club,2.79
26,Physics,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking","Japanese, Chinese, Spanish",San Francisco,Debate Club,2.77
27,History,"Problem Solving, Artistic, Data Analysis, Programming, Leadership, Public Speaking",English,Boston,Sports Team,3.42
28,Biology,"Programming, Data Analysis",Spanish,Chicago,Volunteer Group,3.27
29,Psychology,"Data Analysis, Leadership",Chinese,Los Angeles,Art Club,2.91
30,History,"Data Analysis, Public Speaking","Chinese, Japanese, French, English, Spanish",Los Angeles,Music Club,2.96
31,Biology,"Artistic, Programming, Public Speaking, Problem Solving, Data Analysis","English, Chinese, Spanish",San Francisco,Debate Club,2.26
32,Computer Science,"Problem Solving, Programming, Leadership, Data Analysis, Public Speaking, Artistic","Chinese, French, Spanish",Boston,Volunteer Group,3.01
33,Computer Science,"Public Speaking, Programming","German, Japanese, Chinese, French",Chicago,Debate Club,2.83
34,History,"Data Analysis, Programming, Public Speaking","English, German",New York,Volunteer Group,2.19
35,Physics,Data Analysis,"German, English, Spanish, French, Chinese, Japanese",Boston,Art Club,3.1
36,Psychology,"Leadership, Programming, Problem Solving","Spanish, German, Japanese, English, French",Boston,Music Club,3.12
37,History,"Data Analysis, Public Speaking, Programming, Artistic, Problem Solving","German, Chinese, English, French",New York,Sports Team,3.46
38,Computer Science,"Artistic, Public Speaking, Data Analysis, Leadership, Programming, Problem Solving",German,Houston,Volunteer Group,3.67
39,Mathematics,"Programming, Public Speaking, Data Analysis, Problem Solving",German,Los Angeles,Sports Team,3.24
40,Mathematics,"Data Analysis, Leadership, Programming","English, Spanish",Boston,Coding Club,2.51
41,Psychology,"Programming, Artistic, Public Speaking, Leadership","English, Chinese, Spanish, French, Japanese, German",Boston,Music Club,2.42
42,Mathematics,"Data Analysis, Leadership, Programming, Public Speaking, Problem Solving",German,Houston,Art Club,2.65
43,Mathematics,"Problem Solving, Data Analysis, Public Speaking, Programming, Artistic, Leadership","Chinese, Spanish, English",Houston,Sports Team,3.77
44,Psychology,"Data Analysis, Artistic, Leadership, Programming, Problem Solving","Spanish, Chinese, Japanese",Los Angeles,Volunteer Group,2.72
45,History,Problem Solving,"French, English",Houston,Sports Team,3.68
46,Mathematics,Artistic,German,Boston,Sports Team,3.12
47,Biology,"Artistic, Data Analysis, Programming, Problem Solving, Leadership","German, English",Los Angeles,Sports Team,2.9
48,History,"Artistic, Programming, Problem Solving","German, Japanese",San Francisco,Music Club,2.11
49,Psychology,"Leadership, Public Speaking, Programming, Data Analysis, Artistic, Problem Solving","English, German, Chinese, Spanish, Japanese",Boston,Music Club,3.99
50,History,"Leadership, Public Speaking","Spanish, French, Japanese, German",Chicago,Sports Team,2.64
51,Computer Science,"Data Analysis, Artistic, Leadership, Public Speaking, Problem Solving, Programming","Spanish, English, French, Japanese, German, Chinese",Chicago,Debate Club,2.17
52,Mathematics,Public Speaking,"French, English, Chinese, Japanese, German, Spanish",Chicago,Sports Team,2.11
53,Mathematics,"Public Speaking, Leadership, Programming, Data Analysis","Japanese, Chinese",New York,Sports Team,2.26
54,Biology,"Programming, Public Speaking","French, Japanese, German",Los Angeles,Sports Team,2.13
55,Computer Science,"Artistic, Problem Solving, Leadership, Programming, Data Analysis, Public Speaking","English, German, Spanish, Japanese",Chicago,Music Club,3.75
56,Mathematics,"Leadership, Programming, Artistic, Public Speaking","French, German",Chicago,Music Club,3.55
57,Mathematics,"Problem Solving, Artistic, Programming, Leadership, Public Speaking","English, Japanese, Spanish",Los Angeles,Sports Team,2.44
58,History,"Artistic, Leadership","Japanese, Spanish, English, French",Los Angeles,Volunteer Group,3.23
59,Psychology,"Problem Solving, Leadership, Artistic, Programming, Public Speaking, Data Analysis","German, Chinese, English",Houston,Art Club,3.74
60,Biology,"Leadership, Public Speaking, Programming",Japanese,Chicago,Sports Team,2.42
61,Physics,Data Analysis,"French, Chinese, German, English",Houston,Sports Team,3.62
62,History,"Public Speaking, Programming, Leadership, Problem Solving, Artistic, Data Analysis",Spanish,Houston,Volunteer Group,2.83
63,Physics,"Leadership, Artistic, Data Analysis","Spanish, German, Chinese, Japanese",New York,Sports Team,3.63
64,Computer Science,"Data Analysis, Artistic, Leadership, Programming, Problem Solving, Public Speaking","Japanese, French, German, Chinese, English, Spanish",Chicago,Debate Club,3.14
65,Psychology,Programming,"Chinese, Japanese, German, English",New York,Music Club,3.82
66,Psychology,"Artistic, Problem Solving, Public Speaking, Programming","Chinese, German",New York,Debate Club,2.91
67,Biology,"Programming, Data Analysis","Spanish, English, French, Chinese, German, Japanese",New York,Coding Club,2.34
68,Psychology,Programming,"German, Spanish, French, Japanese, English",Los Angeles,Art Club,3.43
69,Physics,"Problem Solving, Leadership, Public Speaking","Spanish, German, English",Chicago,Coding Club,2.53
70,History,"Programming, Public Speaking, Leadership, Data Analysis, Problem Solving","German, French, English, Japanese, Spanish, Chinese",Chicago,Music Club,3.31
71,Biology,"Data Analysis, Programming, Problem Solving, Leadership, Public Speaking","Chinese, Japanese, French, English, Spanish, German",Chicago,Volunteer Group,2.71
72,Biology,Programming,English,Chicago,Volunteer Group,3.56
73,Physics,"Leadership, Data Analysis, Problem Solving, Programming, Public Speaking","Japanese, French",Boston,Coding Club,2.42
74,Computer Science,Artistic,"French, German, Japanese",Houston,Volunteer Group,3.68
75,Psychology,"Data Analysis, Problem Solving, Artistic, Programming, Leadership","French, Japanese",New York,Music Club,2.88
76,History,"Artistic, Programming, Leadership, Data Analysis, Public Speaking, Problem Solving",Chinese,Los Angeles,Debate Club,3.9
77,Physics,"Problem Solving, Programming, Artistic","Spanish, German, French, Japanese, English, Chinese",San Francisco,Debate Club,2.65
78,Mathematics,"Leadership, Public Speaking, Data Analysis","French, English, Spanish, Chinese, German, Japanese",Houston,Debate Club,3.62
79,Mathematics,"Artistic, Public Speaking, Data Analysis, Programming, Leadership, Problem Solving","German, Chinese",Houston,Volunteer Group,3.16
80,Psychology,Programming,"French, English, Spanish, German",Chicago,Sports Team,2.88
81,History,"Data Analysis, Programming, Problem Solving","French, Chinese, English, Japanese",Los Angeles,Volunteer Group,2.94
82,Mathematics,"Programming, Data Analysis, Problem Solving, Artistic","German, French, Spanish, Chinese",San Francisco,Art Club,3.15
83,Computer Science,"Artistic, Leadership, Data Analysis","Spanish, Japanese, French",Los Angeles,Art Club,2.69
84,Physics,"Leadership, Problem Solving, Programming, Public Speaking",English,San Francisco,Debate Club,2.25
85,Biology,"Artistic, Programming, Leadership, Public Speaking","Japanese, Chinese",Houston,Coding Club,2.14
86,History,"Artistic, Data Analysis, Public Speaking","French, English, Chinese, German",Boston,Debate Club,3.69
87,Mathematics,"Data Analysis, Leadership, Programming, Problem Solving, Public Speaking, Artistic","German, Chinese, Spanish",Boston,Art Club,2.11
88,Computer Science,"Programming, Data Analysis","German, Japanese, French, Spanish, English",New York,Art Club,3.0
89,Mathematics,"Artistic, Data Analysis","English, French, Chinese",Chicago,Art Club,2.58
