Resume_ID,Resume_Category,Top_Matched_Jobs,Job_IDs,Similarities
0,Data Science,"['Senior Data Analyst', 'Data scientist intern - job post', 'Fraud Resolution Analyst']","[465, 957, 191]","[0.22043261395883396, 0.19177531445526316, 0.17826051547021465]"
1,Data Science,"['Junior Data Scientist - job post', 'Data scientist intern - job post', 'Senior AI Developer - job post']","[962, 957, 1026]","[0.18830066113383412, 0.12666853638060663, 0.11621890167464588]"
2,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data scientist intern - job post']","[964, 465, 957]","[0.15058749105744174, 0.14155437065558119, 0.14003424436049167]"
3,Data Science,"['Sr. System Administrator', 'Senior Data Analyst', 'Data Analytics Senior Mangager']","[560, 465, 539]","[0.3469366979278251, 0.24718250669273897, 0.20505183113600958]"
4,Data Science,"['Data Engineer Intern - job post', 'Senior Data Analyst', 'Data Engineer - job post']","[964, 465, 965]","[0.19708247579139637, 0.16176570992639977, 0.15654032623058234]"
5,Data Science,"['Junior Data Scientist - job post', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[962, 964, 957]","[0.18150925614309238, 0.17632850338933057, 0.17361237097972465]"
6,Data Science,"['Data Scientist - job post', 'Data Engineer Intern - job post', 'Senior Data Analyst']","[966, 964, 465]","[0.3647420508053373, 0.35954216479397133, 0.35783894224349005]"
7,Data Science,"['Senior AI Developer - job post', 'AI Machine Learning Optimization Engineer H/F - job post', 'Junior Data Scientist - job post']","[1026, 873, 962]","[0.26711722393675275, 0.2538752111176207, 0.2520843749119026]"
8,Data Science,"['Senior AI Developer - job post', 'Data scientist intern - job post', 'AI Machine Learning Optimization Engineer H/F - job post']","[1026, 957, 873]","[0.2820631797897867, 0.2244359199301478, 0.22050622753901286]"
9,Data Science,"['Senior Data Analyst', 'Data Engineer Intern - job post', 'Data scientist intern - job post']","[465, 964, 957]","[0.3604307359403921, 0.3498691171380204, 0.3088038204113386]"
