Job Title,Company,Description
"Software Engineering, Internship - X Delivery - job post",Boston Consulting Group,Who We Are Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities  BCG was the pioneer in business strategy when it was founded in 1963  Today  we help clients with total transformation inspiring complex change  enabling organizations to grow  building competitive advantage  and driving bottom line impact   To succeed  organizations must blend digital and human capabilities  Our diverse  global teams bring deep industry and functional expertise and a range of perspectives to spark change  BCG delivers solutions through leading edge management consulting along with technology and design  corporate and digital ventures and business purpose  We work in a uniquely collaborative model across the firm and throughout all levels of the client organization  generating results that allow our clients to thrive   We Are BCG X   We re a diverse team of more than 3 000 tech experts united by a drive to make a difference  Working across industries and disciplines  we combine our experience and expertise to tackle the biggest challenges faced by society today  We go beyond what was once thought possible  creating new and innovative solutions to the world s most complex problems  Leveraging BCG s global network and partnerships with leading organizations  BCG X provides a stable ecosystem for talent to build game changing businesses  products  and services from the ground up  all while growing their career  Together  we strive to create solutions that will positively impact the lives of millions   What You ll Do As a part of BCG X you will work closely with consulting teams on a diverse range of advanced topics  You will have the opportunity to leverage software development methodologies to deliver value to BCG s Consulting   BCG X  case  teams  BCG X Product teams and Practice Areas  domain  through providing software developer subject matter expertise  and accelerated execution support  You will collaborate with teams to gather requirements  specify  design  develop  deliver and support software solutions serving client needs  You will provide technical support through deeper understanding of relevant software solutions and processes to build high quality and efficient technology solutions  Assignments will range from short term Proof of concepts Minimum viable product to long term cases with enterprise grade software development as a critical enabler through the project level description of the role responsibilities and impact within the organization    What You ll Bring Must have strong experience   Python Cloud computing platforms  AWS  Azure  Google Cloud  etc   Containerization  Docker  Kubernetes  etc   Relational databases  PostgreSQL  MariaDB  MySQL  etc   NoSQL databases  MongoDB  Neo4j  Redis  etc  Spark or other distributed big data systems  Hadoop  Pig  Hive  etc   Stream processing frameworks  e g  Kafka  Data pipeline orchestration tools  Airflow  Prefect  Dagster  etc   Unix based command line   development tools Version control  e g  Git     Nice to have   Java  Scala Flask  FastAPI  Django or NodeJS  BACKEND  CI CD tools  CircleCI  Octopus deploy  Jenkins  etc   Infrastructure as code  Terraform  Chef  Puppet  Ansible  etc   Deployment  Helm charts  Octopus Deploy  etc   Monitoring tools  Datadog  New Relic  App Dynamics  etc   Security tools  sonarqube  Veracode  Unit testing frameworks  Pytest  Mocha  Jest  etc   Automated UI testing tools  Selenium  Cypress  Playwright  etc   Postman or other API testing tool    Functional Skills   Data Modeling for Analytics and decisioning Selecting and integrating Big Data tools Implementing ETL process s  across on premise and cloud architectures Monitoring performance and advising any necessary infrastructure changes    Communicating with confidence and ease  You will be a clear and confident communicator  able to deliver messages in a concise manner with strong and effective written and verbal communication    Job Requirement  Bachelor s   Master s degree in computer science  engineering technology or equivalent  Excellent oral and written communication skills in French and English   Work Experience  Relevant domain of Data Engineering across industries and work experience providing analytics solutions in a commercial setting  Who You ll Work With Our technology consultants and specialists partner with our clients and colleagues to build and implement digital solutions through a broad spectrum of activities  Technology jobs and engineering jobs include design of IT architectures  large scale transformation  agile development  software engineering  cybersecurity consulting  and risk management    Boston Consulting Group is an Equal Opportunity Employer  All qualified applicants will receive consideration for employment without regard to race  color  age  religion  sex  sexual orientation  gender identity   expression  national origin  disability  protected veteran status  or any other characteristic protected under national  provincial  or local law  where applicable  and those with criminal histories will be considered in a manner consistent with applicable state and local laws   BCG is an E   Verify Employer  Click here for more information on E Verify 
Internship Offer DevOps / Backend (Remote) - job post,FeverTokens,FeverTokens is a French Blockchain company that offers pioneering open source solutions for web3 development  utilizing cutting edge smart contract and formal verification technologies  It positions itself to be the leading fabric of advanced  application level blockchain protocols  especially for real world asset tokenization  Our protocol builder already underpins highly scalable and sophisticated tokenization projects  Our unique deeptech approach enables both functional scalability and enterprise grade  built in security with formal verification  With FeverTokens  builders have access to a full suite no code solution to build sophisticated web3 applications with scalability  high flexibility  security  and speed being the stand out qualities  Our solutions make customizing advanced smart contracts exceedingly easy for everyone  We seek highly motivated interns to join our team as Backend DevOps engineers  Successful candidates will work alongside our senior members and contribute to the development  maintenance  and deployment of our applications  Responsibilities   Design  implement  and maintain infrastructure and applications primarily on AWS  utilizing tools like S3  Lambda functions  EKS  and ECR  Leverage automation tools such as GitOps  ArgoCD  the serverless framework  GitHub actions  and terraform to enhance efficiency and reliability  Collaborate with the development team to ensure harmonious integration between frontend and backend components  Create and uphold system documentation and configuration management  Monitor system performance on AWS  actively identifying and resolving potential issues  Stay current with the latest in AWS  DevOps  and Backend Engineering technologies and best practices   Requirements   Enrolled in a Bachelor s or Master s degree with a specialization in computer engineering software automation networks  Profound programming skills  especially in languages such as Python and Java  Extensive experience with AWS  especially services like S3  Lambda functions  EKS  and ECR  Familiarity with AWS containerization and orchestration technologies  and tools like Docker and Kubernetes  Hands on experience with GitOps  ArgoCD  the serverless framework  GitHub actions  and terraform  Good communication and problem solving skills  Self motivated  proactive  and able to work in a fast paced  collaborative environment  Knowledge of web 3 0 and familiarity with blockchain technologies is a plus   Job Type  InternshipContract length  6 months Application Question s    Are you currently enrolled in an academic institution  What is your preferred starting date  The minimum internship duration is 6 months  does that suit you   Education   Bachelor s  Preferred 
COMMUNICATION INTERN - job post,JTI - Japan Tobacco International,We re currently seeking an enthusiastic and creative Communication Intern to join our dynamic team for a six month paid internship   As a Communication Intern  you ll have the opportunity to gain hands on experience  contribute to meaningful projects  and grow both personally and professionally while crafting engaging content for our internal and external stakeholders  Additionally  you ll assist in enhancing the value of our community investment efforts   If you re full of creativity  initiative driven  have a heart for community service and are ready to embark on an exciting journey  we d love to welcome you to the team   WHAT YOU WILL BE DOING  Provide essential support to our communication team to ensure effective communication both within the organization and with external stakeholders   Exercise your expertise in design software and multimedia tools to produce innovative communications materials that effectively conveys key messages and enhance communication efforts across various communication channels   Support the implementation of engaging communications strategies  including planning and executing communication campaigns and events   Coordinate with various departments to gather information and insights for content creation and campaign planning   Assist in coordinating and organizing community investment initiatives and volunteering activities for our employees   EDUCATION  University degree in Communication  Marketing  Digital Media or related field   SKILLS   Fluent in French  Arabic   English Strong written and verbal communication skills  Passionate about writing and visual storytelling with a creative mindset Proficiency in social media  with the ability to utilize its potential for impactful storytelling  Skilled in graphic design and editing software  such as Adobe InDesign  Photoshop  and Illustrator  A proactive approach  ready to take initiative and present innovative ideas  Excellent organizational skills and attention to detail  Ability to work both autonomously and collaboratively  Proficiency in Microsoft Office 
intern developer - job post,spark tech by aitela,We are seeking a motivated Junior Programmer Intern to join our team  This role is ideal for someone passionate about building and maintaining software systems and eager to work in a collaborative environment  As a Junior Programmer Intern  you will assist in developing  deploying  and managing applications while gaining hands on experience with essential tools and technologies  Responsibilities   Assist in the development and maintenance of applications on Ubuntu environments  Work with Docker to containerize applications and deploy them efficiently  Participate in setting up and managing Kubernetes clusters  Use GitHub Actions to streamline continuous integration and continuous delivery  CI CD  processes  Integrate and work with APIs to enhance application functionality  Collaborate closely with team members to troubleshoot issues and optimize applications   Required Skills   Ubuntu  Proficiency in navigating and managing Ubuntu based environments  Docker  Experience with containerization  building  and managing Docker images  Kubernetes  Familiarity with Kubernetes for deploying and managing applications  GitHub Actions  Knowledge of CI CD workflows  automating testing  and deployment  APIs  Basic understanding of working with and integrating RESTful APIs   Qualifications   Currently pursuing or recently completed a degree in Computer Science  Software Engineering  or a related field  Eagerness to learn  solve problems  and work as part of a team  Strong analytical skills and attention to detail   please note that this is a two month unpaid pre employment internship  How to Apply   Interested candidates must complete the Assessment   https   candidate testlify com invite yvVrXPHKb  NOTE  Only applicants who pass the assessment will be considered for this position  and we will contact qualified candidates based on their results  Job Types  Part time  Contract Pay  1 000 00DH   2 000 00DH per month Application Deadline  07 11 2024
Full stack intern - job post,Metaverse,Job description We are looking for a Full Stack Developer to produce scalable software solutions  You ll be part of a cross functional team that s responsible for the full software development life cycle  from conception to deployment  As a Full Stack Developer  you should be comfortable around both front end and back end coding languages  development frameworks and third party libraries  You should also be a team player with a knack for visual design and utility  If you re also familiar with Agile methodologies  we d like to meet you  Responsibilities  Work with development teams and product managers to ideate software solutions Design client side and server side architecture Build the front end of applications through appealing visual design Develop and manage well functioning databases and applications Write effective APIs Test software to ensure responsiveness and efficiency Troubleshoot  debug and upgrade software Create security and data protection settings Build features and applications with a mobile responsive design Write technical documentation Work with data scientists and analysts to improve software  Requirements and skills  Proven experience as a Full Stack Developer or similar role Experience developing desktop and mobile applications Familiarity with common stacks Knowledge of multiple front end languages and libraries  e g  HTML  CSS  JavaScript  XML  jQuery  Knowledge of multiple back end languages  e g  C   Java  Python  and JavaScript frameworks  e g  Angular  React  Node js  Familiarity with databases  e g  MySQL  MongoDB   web servers  e g  Apache  and UI UX design Excellent communication and teamwork skills Great attention to detail Organizational skills An analytical mind Degree in Computer Science  Statistics or relevant field  Job Types  Full time  InternshipContract length  6 months
Data Analyst - 6 months internship - job post,Volvo Group,Transport is at the core of modern society  Imagine using your expertise to shape sustainable transport and infrastructure solutions for the future  If you seek to make a difference on a global scale  working with next gen technologies and the sharpest collaborative teams  then we could be a perfect match      What you will do   At Volvo Maroc  you will contribute to the transformation of our company  the transport industry and society at large  We are seeking a Data Analysis Intern to assist in our data analysis initiatives under the direct guidance of our Managing Director  This internship is designed as an end of studies project  lasting six months  where you will gain hands on experience in a dynamic environment while contributing to meaningful projects    Key Responsibilities   Collaborate with the managing Director to analyze and interpret data related to our operations  Utilize tools such as Excel and SQL to manage and manipulate large datasets  Assist in developing reports and dashboards to provide insights on key performance indicators  Conduct research to support data driven decision making  Present findings and recommendations to the team    Qualifications   Currently pursuing a degree in Data Analysis  Business Analytics  Statistics  or a related field  Proficiency in Power BI  Excel and SQL  experience with other data analysis tools is a plus  Strong analytical and problem solving skills  Excellent attention to detail and ability to work independently  Passionate about data analysis and eager to learn in a fast paced environment  Strong communication skills to present findings clearly        What we offer    A paid internship Hands on experience in data analysis within the trucking industry  Mentorship from the Managing Director and other experienced professionals  Opportunity to contribute to real projects that impact the business  A collaborative and supportive work environment        Ready for the next move     Are you excited to bring your skills and disruptive ideas to the table  We can t wait to hear from you  Apply today   Volvo Group is an equal opportunity employer  We celebrate diversity and are committed to creating an inclusive environment for all employees      We value your data privacy and therefore do not accept applications via mail   Who we are and what we believe in Our focus on Inclusion  Diversity  and Equity allows each of us the opportunity to bring our full authentic self to work and thrive by providing a safe and supportive environment  free of harassment and discrimination  We are committed to removing the barriers to entry  which is why we ask that even if you feel you may not meet every qualification on the job description  please apply and let us decide   Applying to this job offers you the opportunity to join Volvo Group  Every day  across the globe  our trucks  buses  engines  construction equipment  financial services  and solutions make modern life possible  We are almost 100 000 people empowered to shape the future landscape of efficient  safe and sustainable transport solutions  Fulfilling our mission creates countless career opportunities for talents with sharp minds and passion across the group s leading brands and entities    At Volvo Trucks you will be part of leading the way towards a sustainable transport industry  For nearly a century we have been innovating for people   to make life easier  better and safer  Driving progress is our promise to customers  to the industry and to society  At Volvo Trucks we share a curiosity to learn  we work with passion and we embrace change to stay ahead  Join us  together we move the world we want to live in 
Booking agent - Internship - job post,Nuitée,Job Responsibilities   Will have direct contact with the hotels to check all of the reservations  Making sure the booking process is going well   Key Skills to Learn   Strong communication and organizational skills  Time management and multitasking abilities  Basic knowledge of industry specific software or databases  Ability to work under pressure in a fast paced environment  Interest in client relations  Basic knowledge of travel industry   Requirements   Currently pursuing a degree in business  communications  hospitality  or a related field  Passionate about the entertainment  travel  or hospitality industry and eager to learn  Strong attention to detail and ability to handle multiple tasks at once  Prior experience in customer service  event planning  or administrative roles  preferred but not required    Benefits   Hands on experience working with professional booking agents   PS   English is mandatory for this position   Job Type  StageContract length  2 months Pay  4 000 00DH per month Expected Start Date  02 12 2024
Pre-employment internship – cybersecurity analyst - job post,NETIS GROUP,We are looking for a Cybersecurity Analyst Intern  M F  based in Casablanca  Morocco  This role will involve working closely with the Group IT Director  the IT Team  and any external cybersecurity partners  providing support for the IT Infrastructure across the Group  including Servers  Networks  and all IT resources   Key Responsibilities   Manage Security Operations Center  SOC   Ensure network security  Administer Azure Cloud security  Monitor platforms  Protect data and ensure data security  Secure applications  Comply with regulations and standards  Provide L2 and L3 support  Respond to security incidents  Conduct cybersecurity training and awareness programs  Offer support for local users in Casablanca  Provide remote support to Group Managers across all locations  Maintain Datacenters  Implement group IT policies across the Group and affiliates  Provide support and training for new staff  Coordinate with SCM Teams and third parties on specific IT projects    Qualifications   Skills   Bachelor s or Master s degree in IT Systems  Network  or Cybersecurity  Certifications  CCNA  CISSP  MCSA  NSE  ISO 27001  CISA  Security   CEH  are a plus  Strong analytical skills in Cybersecurity  Excellent problem solving and troubleshooting skills  Comfortable working in a multi site environment  Fluent in English  Proficient in Microsoft infrastructure  Comfortable working with Cloud and Hybrid environments  Experience with Azure and O365 administration  Expertise in Active Directory and related services  Ability to troubleshoot both Linux and Windows servers  Knowledge of backup systems is a plus 
Internship_Supply Chain Excellence (12 Months) - job post,Danone,About the job About you About us
Internship Offer Fullstack and Frontend Engineers (Remote) - job post,FeverTokens,FeverTokens is a French Blockchain company that offers pioneering open source solutions for web3 development  utilizing cutting edge smart contract and formal verification technologies  It positions itself to be the leading fabric of advanced  application level blockchain protocols  especially for real world asset tokenization  Our protocol builder already underpins highly scalable and sophisticated tokenization projects  Our unique deeptech approach enables both functional scalability and enterprise grade  built in security with formal verification  With FeverTokens  builders have access to a full suite no code solution to build sophisticated web3 applications with scalability  high flexibility  security  and speed being the stand out qualities  Our solutions make customizing advanced smart contracts exceedingly easy for everyone  We seek highly motivated interns to join our team as fullstack and frontend engineers  Successful candidates will work alongside our senior members and contribute to the development  maintenance  and deployment of our applications  Responsibilities   Contribute in the design  development  tests and maintenance phases of features  Develop high quality frontend and backend components for seamless feature integration  Build market standard user interfaces using ReactJs and NextJs  Produce and maintain technical documentation   Requirements   Enrolled in a Bachelor s or Master s degree in Computer Science or any related field  Strong programming skills in one or more languages  JavaScript  TypeScript  NodeJS or React  Experience with modern front end frameworks  required for the frontend position  Knowledge of HTML  CSS  Tailwind  and responsive design Familiarity with version control systems  Git and GitHub   Good communication and problem solving skills  Self motivated  proactive  and able to work in a fast paced  collaborative environment  Knowledge of web 3 0 and familiarity with blockchain technologies is a plus   Job Type  InternshipContract length  6 months Application Question s    Are you currently enrolled in an academic institution  What is your preferred starting date  The minimum internship duration is 6 months  does that suit you   Education   Bachelor s  Preferred 
