Job Title,Company,Link,Description
Administratif(ve) - job post,El Grupo LPS,https://ma.indeed.com/q-mobile-jobs.html?vjk=a74d56caae37bfe9,Rabat  Maroc 15 12 2024         Chez Groupe LPS  nous exerçons notre activité dans le déploiement de réseaux de télécommunications internationaux  fixes et mobiles  avec des projets clés en main englobant la conception  l ingénierie  la construction  l installation d équipements  la qualité  la prévention des risques professionnels  l environnement et la sécurité industrielle   Nous recherchons actuellement un e  Administratif ve  pour notre délégation à Rabat   Nous offrons    Possibilité d évolution professionnelle  Formation assurée par l entreprise  Horaires flexibles  Journée libre pour votre anniversaire    Si vous pensez correspondre à ce poste  n hésitez pas à postuler et à rejoindre notre équipe       PRINCIPALES FUNCIONES    Principales fonctions    Gestion et enregistrement des factures  commandes et suivi de la TVA  Contact  recherche et gestion des relations avec les clients et les fournisseurs  Tâches administratives générales  Création et mise à jour de documents sur Excel  PowerPoint et Word via Office 365  Support dans l organisation de la documentation administrative et suivi des processus internes   REQUISITOS    Exigences    Formation technique ou universitaire en administration  comptabilité ou domaines similaires  Expérience préalable de 1 à 2 ans dans des fonctions administratives  préférablement   Connaissances avancées d Office 365  Excel  PowerPoint  Word   Capacité d organisation et attention aux détails  Compétences en communication et gestion des relations avec clients et fournisseurs   Une expérience ou des connaissances dans le secteur des télécommunications  réseaux cuivre et fibre optique  seront un atout 
Développeurs mobile reactnative - job post,SARL,https://ma.indeed.com/q-mobile-jobs.html?vjk=1e522986f79063a3,Développeurs mobile ReactNative   Nous sommes une startup basée à casablanca  nous recherchons des développeur se s web et mobile   Solide expérience de JavaScript en utilisant plusieurs frameworks et bibliothèques dans différents projets   applications  Compréhension approfondie des principes poussées de React js ainsi que du routeur React  des flux de travail Redux Bonne compréhension des API ES6   REST   Graphql  Expertise avec Web pack  gulp et autres outils de construction frontale  npm  Doit avoir de l expérience avec Git  Solide connaissance des concepts CSS et expérience des préprocesseurs  Solide connaissance de la méthode de travail Agile Connaissance de Jira   profil recherché   bac  3 minimum  culture web et des nouvelles technologies  curieux  rigoureux et autonome  ayant l esprit d équipe  le goût du challenge et l envie de bien faire      Domaine   Informatique   Multimédia   Internet Fonction   Informatique   Développement Contrat   A discuter Entreprise   SARL Salaire   Plus de 10 000 DH Niveau d études   Pas important
Développeur Mobile Flutter - job post,BROME Consulting & Technology,https://ma.indeed.com/q-mobile-jobs.html?vjk=335fe16e5235cd79,Description du poste      Développeur Mobile Flutter  H F       Missions     Développement d applications mobiles en Flutter  iOS et Android  Intégration d API et optimisation des performances Collaboration avec l équipe design pour une UX fluide    Profil     Expérience en Flutter et Dart Connaissance des architectures MVVM  BLoC  Provider Maîtrise des outils de versioning  Git     Avantages     Projets innovants et formation continue Environnement de travail dynamique       Informations sur le poste      Date souhaitée       Non définie          Date limite candidature       Non définie          Expérience professionnelle       BAC 2  BAC 3         Type de contrat       CDI          Secteur d activité       Développement  IT          Ville       Casablanca          Pays       Maroc
Développeur mobile (Junior) / / REACT NATIVE : poste basé à ain attiq - job post,Hoojan,https://ma.indeed.com/q-mobile-jobs.html?vjk=a8e5d5e14da6c453,Ingénieur en Développement d Applications Mobiles Lieu   Ain Attiq Nous recrutons un e  Ingénieur e  en Développement d Applications Mobiles passionné e  et dynamique pour rejoindre notre équipe Avec un minimum de deux anq d expérience professionnelle  le candidat idéal maîtrisera React Native et aura des connaissances en Kotlin et Swift  Responsabilités    Développer et maintenir des applications mobiles de haute qualité  Collaborer étroitement avec notre équipe technique pour intégrer de nouvelles fonctionnalités   Compétences Requises    Expérience professionnelle en développement d applications mobiles avec React Native  Connaissances en Kotlin et Swift  Capacité à travailler en équipe et à respecter les délais   Rejoignez nous chez Hoojan pour développer des solutions innovantes et contribuer à notre croissance continue   Type d emploi   CDD Question s  de présélection   Vous habitez au alentours de ain attiq   Temara  
Chargé de clientèle - job post,RPCM,https://ma.indeed.com/q-mobile-jobs.html?vjk=d1d6daf9ff265ffb,RPCM recrute pour son propre compte des télévendeurs avec ou sans expérience pour le vente des produits mobiles et assurances  Profil recherché   Bonne maîtrise de la langue française  Une première expérience en télévente est souhaitable  Esprit d équipe  Votre mission consiste à   Appeler des prospects et des déjà clients à fin de leurs proposer des produits mobiles ADSL FIBRE ou assurances  Respecter les normes qualitatives de la société  Aider à augmenter le chiffre d affaire de la société pour garantir des bonnes primes  Avantages sociaux et autres   Déclaration à la CNSS  AMO   MUTUELLE PRIVÉE Primes non plafonnées Challenges journaliers ou hebdomadaires Formation rémunérée Horaires   Du Lundi au Vendredi de 10H00 à 20H00 Salaire   Salaire fixe 4000 5000 DH   primes déplafonnées Type d emploi   Temps plein  CDI Rémunération   4 000 00DH à 5 000 00DH par mois Formation   Baccalauréat ou équivalent  Optionnel 
Développeur ​Mobile (REF03) - job post,Trusted Advisors,https://ma.indeed.com/q-mobile-jobs.html?vjk=a4427fcebc2f31b0,Nous recherchons pour le compte d une filiale d une banque  un Développeur Mobile   Principales Missions   Participer à l ensemble du cycle de vie de l application  en mettant l accent sur le codage et le déboggage  Ecrire du code propre et sécurisé pour développer des applications mobiles avec Android  iOS  Flutter  Swift  Kotlin  React Native  Redux  Graphql Très bonne compréhension de l écosystème Mobile Maîtrise de Git  des bases de données SQL et des langages de programmation back end  Authentification et autorisation des utilisateurs entre plusieurs systèmes  serveurs et environnements Intégration de plusieurs sources de données et bases de données dans un seul système Gestion de l environnement d hébergement  y compris l administration de la base de données et la mise à l échelle d une application pour prendre en charge les modifications de charge Mise en œuvre de plates formes de test automatisées et de tests unitaires L expérience des projets IoT  des bases de données NoSQL  du développement Agile et de l apprentissage automatique est un plus   Profil recherché   Expérience dans le développement de produits logiciels d entreprise agiles  Langages de programmation Android  iOS  Kotlin  Swift  Flutter  React native  Redux  Git  Intégration d API  Rest API  SOAP Webservice  Docker  Grphql  Expérience démontrée dans les tests unitaires Connaissance approfondie des outils de gestion des versions de code  tels que Git Compréhension compétente des principes de sécurité de l OWASP Compréhension de la   gestion de session   dans un environnement de serveur distribué Compétences en résolution de problèmes et en organisation  Type de Contrat  Freelance  Durée de la Mission  3 mois renouvelables  Lieu  Casablanca
TROIS (3) DÉVELOPPEURS WEB / MOBILE - job post,NJT GROUP,https://ma.indeed.com/q-mobile-jobs.html?vjk=2bc9ddeb7b0f3be1,Type de Contrat   CDI  Localisation   Marrakech Date Début   Dès que possible Formation   Bac 3 Expérience   Débutant   Envoyez nous votre CV à l adresse   recrutement njt group com et nous ne manquerons pas de vous contacter dans les plus brefs délais 
Développeurs web / mobile - job post,Proxisoft,https://ma.indeed.com/q-mobile-jobs.html?vjk=16a769c8e3bb9b56,Entreprise PROXISOFT s est spécialisé dans le domaine de l ingénierie informatique  grâce à des Années d expérience et de plusieurs projets réalisés  notre objectif est d accompagner et à moindre coût nos clients dans leurs projets informatique  Ensemble  nous déterminons leurs besoins ainsi que leurs contraintes  que ce soit sur le plan temporel ou budgétaire  afin de leur offrir des solutions pertinentes   Poste PROXISOFT recherche des développeurs web   Mobile pour un stage de 2 Mois au Minimum  Participer à la conception des solutions web et Mobile Rédiger des livrables Développer des web services pour des solutions web sous le fromework Symfony   PHP  Sécuriser les flux de communication Méthode de développement agile  Si vous êtes intéressé n hésitez pas à nous contacter et à nous envoyer votre CV Adresse email   stagiaire proxisoft gmail com Numéro de téléphone    212 537 835 346  Profil De formation Bac 2 Ou plus en développement informatique      Compétences requises          Développement web  Mobile  langage de programmation HTML  Css  Js  bootstrap  PHP  Symfony  Java  ionic
Développeur / Développeuse mobile Junior - job post,Electro Protect,https://ma.indeed.com/q-mobile-jobs.html?vjk=ba9fb20972205c75,Dans le cadre de notre croissance  nous proposons un stage de pré embauche de 3 mois dans le domaine du développement mobile orienté Android  Nous recherchons une personne apte à concevoir des applications simples à partir d un cahier des charges de niveau basique  Profil Recherché Minimum Bac 2 Bon niveau de français exigé Une bonne connaissance de PHP  SQL  Javascript et de la programmation orientée objet Compétences PHP Javascript SQL Front end Back end Avantages sociaux et autres  Amplitude horaire
Administration Officer - job post,Coventry University Bouskoura,The Coventry University Bouskoura Administration Officer job roles include    Day to day administrative tasks   Including Finance  HR  IT  front office administrative tasks   Meet regularly with other colleagues and your line manager to access your performance and KPI s   Provide a termly action plan to line manager for approval   Provide a effective customer journey in both admissions and for existing students   parents   Internal marketing including students customer service    Reception overview   Ensure that you have good resources to complete their work   Maintain good networking with parents and continue to grow and maintain my contacts   Customer Service   Help staff who need help  guidance or training to be able to complete their work   Ensure all bills for maintaining the building are paid on time  such as morocco telecom  water  electric  services   Networking  Maintaining existing relationships and building more business and PR relationships Candidate requirements include    Bachelor degree minimum requirement in specialisation relater to job role   Very good level of English   1 years minimum work experience in the same company  in similar role   pass safer recruitment process   2 positive recommendation letters from last two employees or educators Job Type  Full time Pay  3 000 00DH   5 000 00DH per month Application Deadline  08 12 2024Expected Start Date  02 12 2024
Administrateur de ventes - job post,AMSTERGI MOROCCO,Nous recherchons un Administrateur des Ventes motivé et rigoureux pour rejoindre notre équipe  Vous serez responsable de la gestion administrative des ventes  du suivi des commandes  de la coordination avec les clients et de la gestion des dossiers commerciaux  Type d emploi   Temps plein  CDI Rémunération   4 000 00DH à 5 000 00DH par mois
Remote Sales Specialist (Arabic Speaking) - job post,SmartCheck360,We are looking for a new colleague to work from home in Morocco to support our new sales team  Your Daily Work Routine  You will serve as a sales consultant to our Arabic speaking customers across Germany  working from Morocco  You will provide information about our products and services to customers  actively managing conversations to meet all of the customer s needs and achieving successful results  You will respond competently to customer requests and ensure customer satisfaction with your professional and friendly approach  You will recognize customer requests and ensure that all agreed upon quality criteria are met and exceeded  You will record and update customer data in our computer systems and ensure that sales processes are completed in an organized manner  An Excellent Job  We Offer More   Average earnings between 7 000 MAD and 10 000 MAD per month  including commission and bonuses   Fixed salary   attractive commissions based on your sales success  Fully remote work opportunity  Homeoffice   Permanent employment contract with the option for part time or full time work  Health insurance  including medical and dental services  Internet expense allowance  Fully paid training from the first day  Development and career opportunities within an international company   What We Expect From You   Proficiency in English   mandatory  Experience in active product sales  Excellent communication and relationship building skills in Arabic  Customer oriented mindset and solution focused approach   If you are the candidate we are looking for  apply immediately without wasting time  نوع الوظيفة  دوام كامل  دوام جزئي الراتب المدفوع  7 000 00 د م   10 000 00 د م لكل شهر عدد الساعات المتوقع  40 في الأسبوع
Stage en Ressource humaine - job post,Tactical Tactics,Tactical Tactics est une entreprise marocaine dédiée à la valorisation du Made in Morocco sur les marchés internationaux  en aidant les entreprises locales à se préparer  se structurer et pénétrer les marchés américains et canadiens  Nous sommes à la recherche d un e  stagiaire pour le poste en Ressource humaine pour une période de 3 à 6 mois   Nous recherchons un e  stagiaire en RH motivé e  pour rejoindre notre équipe RH  Si vous êtes dynamique  rigoureux se  et passionné e  par les ressources humaines  ce stage est fait pour vous  Profil recherché    Niveau d étude minimum Bac 2 en gestion des ressources humaines ou domaine similaire Bonnes compétences en communication écrite et orale  Autonomie  rigueur et capacité à travaille en équipe   Compétences recherchées    Création et préparation des dossier salariés Suivis des absences et des congés Maîtrise des outils bureautiques  notamment Excel  Word et PowerPoint  Connaissance des pratiques RH et des bases du droit du travail serait un plus   Type d emploi   Temps plein  StageDurée du contrat   3 mois
Sales Assistant (F) - job post,Phone Gadgets,Job Title  Sales Assistant  Female Location  Casablanca  MoroccoCompany  Phone Gadgets About Us Phone Gadgets is the exclusive distributor of premium smart gadgets like Kieslect smartwatches and SoundPeats earpods in Morocco  We are looking for a motivated and dynamic female sales assistant to join our growing team  Position Overview As a Sales Assistant  you will be responsible for processing orders  ensuring smooth coordination from dispatch to payment  and supporting the sales team with administrative tasks  This is an excellent opportunity for a junior candidate with less than 2 years of work experience to grow and develop their skills in a fast paced and innovative industry  Key Responsibilities   Input customer orders into the system Follow up on the delivery process from dispatch to payment Maintain accurate records of sales and deliveries Assist with inventory management and coordination of shipments Support the sales team with day to day administrative tasks  Requirements   Female candidate with At least 1 year of professional experience Strong communication and organizational skills Average level of English  verbal and written  Enthusiastic  detail oriented  and eager to learn Interest in technology and gadgets is a plus  Benefits   Competitive salary and growth opportunities Work in a dynamic and supportive environment Gain experience in the tech and gadget industry  If you are passionate about smart gadgets and eager to start your career in sales  we d love to hear from you  How to Apply Please send your CV to kh longchees com with the subject line  Sales Assistant Application   Your Name   Job Types  Full time  Contract
Sales & Supply Support Coworker - job post,IKEA,Job ID  REF522O Date posted  17 09 2024 Company description  The IKEA vision is to create a better everyday life for the many people  We do this by offering a wide range of well designed  functional home furnishing products at affordable prices   We are part of IKEA Al Homaizi Limited  operating in three countries   Kuwait  Jordan  and Morocco  Our keywords are Home  People  Happiness  Development  Leadership  Inclusion   Diversity  All with Passion  Join us to bridge your dreams and unique ideas within an organization that believes in People   Job description  A day in your life with us    Support the sales team in processing orders  managing inventory  and ensuring product availability  Monitor stock levels and ensure timely replenishment of products to maintain optimal inventory  Assist in managing the flow of goods from suppliers to stores  ensuring efficient and cost effective processes  Work actively with the commercial team with the range change process led by the commercial team by providing information regarding sales space parameters  expected sales start  quantity and remaining outgoing quantities  Perform data entry  maintain databases  and ensure accuracy of information  Assist in the preparation of sales forecasts and supply plans  Live the IKEA values and nurture a strong and thriving IKEA culture that inspires colleagues to reach extraordinary achievements in the store    Qualification  Bachelor s degree in Business  Supply Chain Management  or related field preferred  Previous experience in sales support  supply chain  or a related role is an advantage  Experience working in a fast paced retail or logistics environment  Excellent numerical skills   More Information  This position is full time and is located in Tetouan  Morocco  Some travel may be required  Please send your CV in English and tell us why you would be a good fit for this role 
Quality Control Inspector (Part time / Freelance) - job post,QIMA,Company Description  At QIMA  we re on a mission to help our clients make products consumers can trust  Working with over 30 000 global brands  retailers  manufacturers and food growers  we are on the ground wherever products are made  We help businesses secure every step of their supply chain with quality inspections  supplier audits  certifications  and lab testing  all powered by our intelligent digital platform  Our team of 5 000 QIMers  and counting  across 40 offices and laboratories  are united in our shared passion for innovation and integrity  and guided by our QIMA values in the decisions we make every day  We believe in the work we do  and in making a positive difference in the world  Does this sound like something you d like to be a part of  Our Consumer Goods Division is dedicated to helping brands  retailers and manufacturers worldwide deliver safe  quality and ethically made products to their consumers  Every day at work  our inspectors  auditors  and lab techs use their expertise to help safeguard the products you use every day in your home  from clothes and footwear to toys and baby products  to electronics  appliances  and furniture  Job Description  As a Quality Control Inspector  you ll be reporting to an Operations Manager and working as a part of our Operations team  At QIMA  the role of Operations is to deliver our industry leading services to our clients while ensuring that all the work is performed to the QIMA standard of quality  Your role in this will be to   Check email daily in order to receive inspection documents and guidelines  Attend inspections on time and communicate with supplier in a professional way  Perform the inspection of the merchandise according with company procedures  Supervise the stuffing of the containers according with company procedures  Fulfill inspection reports according with company procedures and time lines    Qualifications  Think you have what it takes  First of all  we want someone with   Experience in quality management  especially softlines  garments  textiles  footwear  2 years or more   Knowledge of AQL standards  as well as relevant safety and quality regulations  Good command of English  spoken and written   Great attention to detail and strong professional ethics    Additional Information  Does this describe you  Then we want to hear from you as soon as possible  Apply now with your CV in English and we can write the next chapter of the QIMA story together   Note  this position is open to candidates who are working as freelancer in Morocco 
Flight Care Executive - job post,Jet Luxe,Job Information   Date Opened       11 25 2024        Job Type       Full time        Industry       Airline   Aviation        Work Experience       1 3 years        City       Casablanca  Morocco        State Province       Casablanca  Dar el BeÃ da         Country       Morocco        Zip Postal Code       00000          About Us       Discover the World your way   Your Journey Begins Here        Job Description  Are you an experienced customer service professional within the aviation industry  looking to make the next big step in your career    Then come and join our growing team    Jet Luxe is a luxury travel brand responsible for revolutionizing executive travel  Launched in 2020  the company has quickly established itself as a leader in the private aviation sector  Jet Luxe is recognised around the globe for delivering flexible  best in class Luxury Travel Management solutions to customers worldwide    Jet Luxe provides exceptional Aircraft Management  tailored made Flight Care Services to thousands of customers every year  The company caters to an elite clientele including aircraft owners  VIP  operators of business jets for corporate  commercial and personal air travel  From the palace to the aircraft  to the destination  anything private jet travel requires  anywhere in the world  we can provide  See the world in Your Own Way    Private aviation experience   FA  CX  Ops  charter sales experience  Started as FAs and promoted to In Flight services Manager  FAs Manager   Time management   toleration to frustration  stress management  thinking outside of the box  attention to detail  prioritizing  customer service oriented  knowing how to deal with difficult situations   Work in an environment where they have to liaise with different departments and teams simultaneously   Having experienced working in an office  not only flying duties  Luxury industry experience exposure   Manage effective  polite  and prompt communication with high end clients  Understand and navigate aviation operational requirements and constraints  Work closely with the Sales team to ensure client needs are met and service delivery is aligned  Oversee catering arrangements  ensuring quality and timeliness Organize commercial tickets and hotel reservations for staff and crew  Maintain detailed oversight of clients  flight details and account information  Building   Maintaining Client Relationships  As a Flight Care Executive you will be the first point of contact for our clients  As such you will carry the responsibility and honor of representing Jet Luxe to our clientele  You will be expected to create and maintain a strong rapport with clients by understanding their needs  preferences and expectations  Through consistent and proactive engagement whilst ensuring clients feel valued and well cared for you will build trust and loyalty   Customer Communications  Handling all client interactions with professionalism  clarity and empathy  This includes responding to inquiries  resolving issues and providing information promptly  Clear and courteous communication helps ensure client satisfaction and enhances their overall experience   Understanding Operational Requirements  Thorough knowledge and experience of the logistics and constraints of aviation operations  including the understanding of flight schedules  regulatory requirements  aircraft capabilities  safety protocols and ground operations  A solid understanding of these elements ensures the ability to anticipate and address potential issues efficiently   Building  ordering and executing catering orders  Coordinating with clients to understand their catering preferences and dietary restrictions  placing accurate orders with catering providers  and ensuring timely delivery  Attention to detail is crucial to meet the high standards expected in private aviation  In conjunction with the Flight Ambassadors  build an unforgettable experience on board  for every client on every flight   Coordinating Travel Requirements for Staff   Crew  Organizing all travel logistics for staff and crew  including booking commercial flights and hotel accommodations  Flexibility and an ability to multitask are key to handle any last minute changes or issues   Liaising with multiple internal departments  Effective collaboration with various departments such as Sales  Finance and Marketing  The role requires clear communication to coordinate efforts  share information and resolve any inter departmental issues  Working seamlessly with different teams ensures a cohesive approach to service delivery and helps maintain the high standards of the company     Requirements  Minimum three years experience in a client service role Fluent in English with excellent communication skills Proficiency in other languages is highly desirable  especially Spanish and French Attention to detail to ensure precision on all tasks Ability to work under pressure   multitask Amenable to constant changes and or last minute changes Exceptional Client Services Skills Ability to analyze and solve problems in a fast paced environment Strong organizational and communication skills Strong understanding of aviation operations and constraints Strong interpersonal skills to interact with clients  team members and stakeholders Proactive   Flexible attitude Passionate   Enthusiastic Ability to work both independently and within a team Experience in Private Aviation is advantageous Ability to work shift schedules Must be in Casablanca  Morocco 
Stagiaire développeur web - job post,Tactical Tactics,Tactical Tactics est une entreprise marocaine dédiée à la valorisation du Made in Morocco sur les marchés internationaux  en aidant les entreprises locales à se préparer  se structurer et pénétrer les marchés américains et canadiens  Nous sommes à la recherche d un e stagiaire pour le poste de développeur web pour une période de 3 à 6 mois   Activité et tâches principales  Création   insertion de contenu web sur les divers supports existant sur internet   cms wordpress  site e commerce avec woocommerce  connaissance du html  css et Javascript Création de page web sur divers sitesLe développeur web participera à la création de nouveaux sites web et à l amélioration continue des sites existants   Intégration de maquettes sur WordPress   Elementor  Woocommerce  etc Développement des fonctions  custom  sur les sites web  Nous recherchons une personne qui    Maîtrise parfaitement WordPress  et autres extensions populaires  Elementor   Si vous le maitrisez  vous améliorez vos chances de collaborer avec TacticalTactics Woocommerce   la tendance du moment   Maîtrise parfaitement l écriture HTML et CSS  Possède des connaissances avancées de l écriture PHP et Javascript  Possède un sens du marketing développé  Possède un PC et une connexion Internet   Type d emploi   Temps plein  StageDurée du contrat   3 mois Formation   Bac   2  BTS  DUT   Optionnel 
In Store Logistics Manager - job post,IKEA,Job ID  REF458I Date posted  02 07 2024 Company description  The IKEA vision is to create a better everyday life for the many people  We do this by offering a wide range of well designed  functional home furnishing products at affordable prices   We are part of IKEA Al Homaizi Limited  operating in three countries   Kuwait  Jordan  and MOROCCO  Our keywords are Home  People  Happiness  Development  Leadership  Inclusion   Diversity  All with Passion  Join us to bridge your dreams and unique ideas within an organization that believes in People   Job description  Lead the In store Logistics team and secure excellence in the planning and execution of the goods flow process in co operation with business partners  Lead and inspire the Goods Flow Manager matrix and provide support with the necessary tools  methods and functional competence development needs  and secure succession planning for the Good Flow Managers  Identify and develop talents within In store Logistics to secure a succession plan thereby contributing to the success of future IKEA growth  Actively participate in planning  developing and improving logistics supply operations both towards and within the stores  Accountable for reaching fulfilment KPI s on a consistent basis  Ensure a strong partnership with commercial team partners  Play an active role in creating the Retail Logistics action plan and setting goals in the area of In store Logistics that deliver on the country business plan while also ensuring all actions taken are always aligned with the overall IKEA business plan objectives  Support the stores in planning effective and efficient goods flow operations and together with supply partners ensure a smooth goods flow to the store while maximising overall commercial results  Analyse stock development together with retail supply integration and business navigation as part of the inventory management process  As an expert in store goods flow operations  share knowledge with colleagues and business partners to support their competence development  particularly the understanding of the principles of effective and efficient goods flow and health and safety in goods handling  Work together with relevant partners in the supply chain to achieve a high and stable level of product availability for customers at all times  and at the lowest possible total cost through the objectives and goals stated in the Global Service Protocol and local appendices  Contribute to the store establishment process of new stores  extensions and rebuilds to assure the correct preconditions for an effective and efficient goods flow and picking operations as well as support the Customer Shopping Experience  Ensure that the Retail Logistics team works ethically and in compliance with internal and external laws rules  including legislation relating to risk  sustainability and health and safety regulations  Live the IKEA values and nurture a strong and living IKEA culture that values the diversity of our customers and co workers and inspires extraordinary achievements in the department    Qualification  Knowledge   Excellent leadership skills  Excellent analytical skills with the ability to identify required business actions  Excellent skills in supporting an efficient and costeffective commercial performance  Excellent skills in presenting  facilitating and influencing others with the ability to provide business relevant information in a transparent way  Understand the business plan process in the country  Good numerical skills  Good understanding and actively use all IKEA manuals  particularly In Store Logistics and Retail Supply Integration the IKEA way manuals  Good skills in retail and or logistics processes  tools and working methods  Good understanding of the business plan process in the country  Excellent understanding the IKEA Code of Conduct  regulations and legislation relating to health  safety and security    Motivation   The IKEA values truly reflect personal values  Interested in home furnishing  people s life at home and the IKEA product range  A passion for developing people and talent  Driven to exceed goals through people  A passion for logistics and working in a fast paced and constantly changing retail environment    Capabilities  A proven record of successful leadership  Ability to lead based on performing and delivering while learning and developing  Ability to build trust and communicate in a clear and targeted way with different people in various situations  Ability to manage a high volume and vibrant retail environment  Ability to make things happen with flexibility  speed and simplicity  Ability to influence business results as a matrix partner    More Information  Ideal experience   education   Experience of working in a retail and or logistics role  including previous management experience of leading others  Ability to communicate confidently and clearly in English  Ability to work through others  set priorities  delegate responsibility and give open and honest feedback  Ability to inspire and engage others  Business minded with a clear customer focus  Show potential to apply tactical and operational thinking  Experience of setting and implementing action plans and providing clear directions and following up goals  Ability to meet agreed budgets and goals  and work on plans over a number of years  Experience of leading in a changing environment  Ability to think commercially by balancing efficiency  inspiration and profitability  Ability to reflect and find value and ideas in collaborating with others    A few more details for you This position is full time and is located in ZENATA   Mohammedia  Morocco  Some travel may be required  Please send your CV in English and tell us why you would be a good fit for this role 
